,latitude,longitude,UnifiedRegion
0,39.0,-108.25,Grand Mesa Zone
1,39.0,-108.0,Grand Mesa Zone
2,39.0,-107.75,Grand Mesa Zone
3,39.0,-107.5,Grand Mesa Zone
4,39.25,-108.25,Grand Mesa Zone
5,39.25,-108.0,Grand Mesa Zone
6,39.25,-107.75,Grand Mesa Zone
7,39.25,-107.5,Grand Mesa Zone
0,37.0,-106.0,Sangre de Cristo Range
1,37.0,-105.75,Sangre de Cristo Range
2,37.0,-105.5,Sangre de Cristo Range
3,37.0,-105.25,Sangre de Cristo Range
4,37.0,-105.0,Sangre de Cristo Range
5,37.25,-106.0,Sangre de Cristo Range
6,37.25,-105.75,Sangre de Cristo Range
7,37.25,-105.5,Sangre de Cristo Range
8,37.25,-105.25,Sangre de Cristo Range
9,37.25,-105.0,Sangre de Cristo Range
10,37.5,-106.0,Sangre de Cristo Range
11,37.5,-105.75,Sangre de Cristo Range
12,37.5,-105.5,Sangre de Cristo Range
13,37.5,-105.25,Sangre de Cristo Range
14,37.5,-105.0,Sangre de Cristo Range
15,37.75,-106.0,Sangre de Cristo Range
16,37.75,-105.75,Sangre de Cristo Range
17,37.75,-105.5,Sangre de Cristo Range
18,37.75,-105.25,Sangre de Cristo Range
19,37.75,-105.0,Sangre de Cristo Range
20,38.0,-106.0,Sangre de Cristo Range
21,38.0,-105.75,Sangre de Cristo Range
22,38.0,-105.5,Sangre de Cristo Range
23,38.0,-105.25,Sangre de Cristo Range
24,38.0,-105.0,Sangre de Cristo Range
25,38.25,-106.0,Sangre de Cristo Range
26,38.25,-105.75,Sangre de Cristo Range
27,38.25,-105.5,Sangre de Cristo Range
28,38.25,-105.25,Sangre de Cristo Range
29,38.25,-105.0,Sangre de Cristo Range
30,38.5,-106.0,Sangre de Cristo Range
31,38.5,-105.75,Sangre de Cristo Range
32,38.5,-105.5,Sangre de Cristo Range
33,38.5,-105.25,Sangre de Cristo Range
34,38.5,-105.0,Sangre de Cristo Range
